ufn,sample_id,tissue_type,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,quality_level,sample_comments,quality_log
U1450,JS01046,finclip,MIDDLESHUSWAP,4,0.85,L_SHUSWAP,4,0.11,L_ADAMS,4,0.03,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1451,JS01201,finclip,MIDDLESHUSWAP,4,0.57,L_ADAMS,4,0.31,HORSEFLY,3,0.06,SEYMOUR,2,0.03,CHILKO,3,0.02,PBS,Technicianmr,,
U1452,JS01207,finclip,NIMPKISH,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1453,JS01203,finclip,QUESNEL_MITCHE,3,0.59,MITCHELL,3,0.29,WASKO_CR,3,0.12,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1454,JS01044,finclip,MIDDLESHUSWAP,4,0.77,L_SHUSWAP,4,0.2,L_ADAMS,4,0.03,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1455,JS01050,finclip,QUESNEL_HORSEF,3,0.42,HUDSON_BAY,1,0.2,L_ADAMS,4,0.14,MIDDLESHUSWAP,4,0.06,MCKINLEY,3,0.05,PBS,Technicianmr,,
U1461,JS01049,finclip,MIDDLESHUSWAP,4,0.76,L_SHUSWAP,4,0.16,L_ADAMS,4,0.06,SCOTCH,2,0.01,EAGLE_L,4,0,PBS,Technicianmr,,
U1462,JS01280,finclip,MIDDLESHUSWAP,4,0.93,L_ADAMS,4,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1463,JS01271,finclip,MIDDLESHUSWAP,4,0.94,CHILKO,3,0.04,L_ADAMS,4,0.01,SCOTCH,2,0.01,HORSEFLY,3,0.01,PBS,Technicianmr,,
U1464,JS01277,finclip,CHILKO,3,0.99,CHILKO-NORTH,3,0.01,GLUSKIE,1,0,SANDPOINT,1,0,CHILKO_SOUTH,2,0,PBS,Technicianmr,,
U1465,JS01098,finclip,L_SHUSWAP,4,0.82,L_ADAMS,4,0.13,MIDDLESHUSWAP,4,0.04,U_ADAMS,2,0.01,SEYMOUR,2,0,PBS,Technicianmr,,
U1466,JS01096,finclip,QUESNEL_HORSEF,3,0.79,MCKINLEY,3,0.15,M_HORSEFLY,3,0.05,U_HORSEFLY,3,0,L_HORSEFLY,3,0,PBS,Technicianmr,,
U1467,JS01093,finclip,HUDSON_BAY,1,0.69,BIVOUAC,1,0.12,KYNOCK,1,0.08,BLACKWATER,1,0.05,PAULA,1,0.05,PBS,Technicianmr,,
U1468,JS01099,finclip,L_ADAMS,4,0.86,L_SHUSWAP,4,0.07,MIDDLESHUSWAP,4,0.06,PORTAGE_CR,4,0.01,SEYMOUR,2,0,PBS,Technicianmr,,
U1469,JS01091,finclip,CHILKO,3,0.87,CHILKO-NORTH,3,0.11,L_ADAMS,4,0,CHILKO_SOUTH,2,0,BIRKENHEAD,3,0,PBS,Technicianmr,,
U1470,JS00994,finclip,SCOTCH,2,0.83,SEYMOUR,2,0.17,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1471,JS01047,finclip,L_ADAMS,4,0.82,MIDDLESHUSWAP,4,0.07,L_SHUSWAP,4,0.04,QUESNEL_HORSEF,3,0.03,CHILKO,3,0.02,PBS,Technicianmr,,
U1472,JS01274,finclip,L_ADAMS,4,0.62,HORSEFLY,3,0.27,MIDDLESHUSWAP,4,0.06,EAGLE_L,4,0.03,SCOTCH,2,0.01,PBS,Technicianmr,,
U1473,JS01278,finclip,CHILKO,3,0.93,HORSEFLY,3,0.05,L_ADAMS,4,0.02,MIDDLESHUSWAP,4,0,NA,NA,NA,PBS,Technicianmr,,
U1474,JS01279,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1475,JS01272,finclip,HORSEFLY,3,0.99,L_HORSEFLY,3,0.01,CHILKO,3,0,M_HORSEFLY,3,0,NA,NA,NA,PBS,Technicianmr,,
U1476,JS01275,finclip,CHILKO,3,0.6,HORSEFLY,3,0.23,L_ADAMS,4,0.13,PINCHI_CR,3,0.01,TACHIE,3,0.01,PBS,Technicianmr,,
U1477,JS01273,finclip,L_ADAMS,4,0.87,MIDDLESHUSWAP,4,0.1,CHILKO,3,0.02,HORSEFLY,3,0,SEYMOUR,2,0,PBS,Technicianmr,,
U1478,JS01276,finclip,HORSEFLY,3,0.95,L_ADAMS,4,0.04,MIDDLESHUSWAP,4,0,M_HORSEFLY,3,0,NA,NA,NA,PBS,Technicianmr,,
U1479,DS01025,finclip,L_SHUSWAP,4,0.83,MIDDLESHUSWAP,4,0.17,SEYMOUR,2,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1480,DS01029,finclip,MIDDLESHUSWAP,4,1,L_SHUSWAP,4,0,DUST,1,0,EAGLE_L,4,0,NA,NA,NA,PBS,Technicianmr,,
U1481,DS01026,finclip,SEYMOUR,2,0.69,SCOTCH,2,0.3,CHILKO,3,0.01,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1482,DS01030,finclip,MIDDLESHUSWAP,4,0.78,L_SHUSWAP,4,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1483,DS01022,finclip,SEYMOUR,2,0.46,MIDDLESHUSWAP,4,0.29,SCOTCH,2,0.23,EAGLE_L,4,0.01,L_SHUSWAP,4,0.01,PBS,Technicianmr,,
U1484,DS01024,finclip,EAGLE_L,4,0.65,MIDDLESHUSWAP,4,0.2,QUESNEL_DECEPT,3,0.08,L_SHUSWAP,4,0.05,CHILKO,3,0.01,PBS,Technicianmr,,
U1485,DS01023,finclip,FENNELL,2,0.53,MIDDLESHUSWAP,4,0.15,EAGLE_L,4,0.14,CHILKO,3,0.1,QUESNEL_DECEPT,3,0.03,PBS,Technicianmr,,
U1486,DS01027,finclip,MIDDLESHUSWAP,4,0.69,L_SHUSWAP,4,0.24,EAGLE_L,4,0.07,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1487,DS01028,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1488,DS01021,finclip,EAGLE_L,4,0.99,L_SHUSWAP,4,0.01,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1489,JS00969,finclip,L_SHUSWAP,4,0.67,L_ADAMS,4,0.28,MIDDLESHUSWAP,4,0.04,SCOTCH,2,0.01,MCKINLEY,3,0,PBS,Technicianmr,,
U1490,JS00967,finclip,CHILKO,3,0.87,CHILKO-NORTH,3,0.07,L_ADAMS,4,0.03,QUESNEL_HORSEF,3,0.02,MIDDLESHUSWAP,4,0.01,PBS,Technicianmr,,
U1491,JS00968,finclip,L_SHUSWAP,4,0.64,L_ADAMS,4,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1492,JS00970,finclip,L_ADAMS,4,0.8,MIDDLESHUSWAP,4,0.09,L_SHUSWAP,4,0.08,SEYMOUR,2,0.01,SCOTCH,2,0.01,PBS,Technicianmr,,
U1493,JS00964,finclip,L_ADAMS,4,0.47,MIDDLESHUSWAP,4,0.16,SEYMOUR,2,0.12,L_SHUSWAP,4,0.11,CHILKO,3,0.07,PBS,Technicianmr,,
U1494,JS00966,finclip,MIDDLESHUSWAP,4,0.72,L_SHUSWAP,4,0.27,QUESNEL_HORSEF,3,0.01,L_ADAMS,4,0,MCKINLEY,3,0,PBS,Technicianmr,,
U1495,JS00972,finclip,SCOTCH,2,0.72,SEYMOUR,2,0.28,MIDDLESHUSWAP,4,0,EAGLE,2,0,NA,NA,NA,PBS,Technicianmr,,
U1496,JS00965,finclip,SCOTCH,2,0.8,SEYMOUR,2,0.2,L_ADAMS,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1497,JS00963,finclip,MIDDLESHUSWAP,4,0.61,L_ADAMS,4,0.31,L_SHUSWAP,4,0.07,SCOTCH,2,0.01,SEYMOUR,2,0.01,PBS,Technicianmr,,
U1498,JS00962,finclip,SCOTCH,2,0.73,SEYMOUR,2,0.26,MIDDLESHUSWAP,4,0.01,EAGLE,2,0,L_SHUSWAP,4,0,PBS,Technicianmr,,
U1499,JS01097,finclip,QUESNEL_HORSEF,3,0.61,MCKINLEY,3,0.14,L_ADAMS,4,0.14,L_SHUSWAP,4,0.06,CHILKO,3,0.02,PBS,Technicianmr,,
U1500,JS01095,finclip,L_SHUSWAP,4,0.81,MIDDLESHUSWAP,4,0.13,L_ADAMS,4,0.06,PORTAGE_CR,4,0,M_HORSEFLY,3,0,PBS,Technicianmr,,
U1501,JS01100,finclip,L_SHUSWAP,4,0.47,L_ADAMS,4,0.3,MIDDLESHUSWAP,4,0.22,SEYMOUR,2,0,SCOTCH,2,0,PBS,Technicianmr,,
U1502,JS01092,finclip,MIDDLESHUSWAP,4,0.41,L_ADAMS,4,0.27,SEYMOUR,2,0.17,L_SHUSWAP,4,0.13,SCOTCH,2,0.02,PBS,Technicianmr,,
U1503,JS01094,finclip,QUESNEL_HORSEF,3,0.52,L_ADAMS,4,0.19,MCKINLEY,3,0.1,MIDDLESHUSWAP,4,0.06,CHILKO-NORTH,3,0.05,PBS,Technicianmr,,
U1504,JS00995,finclip,L_ADAMS,4,0.5,MIDDLESHUSWAP,4,0.27,CHILKO,3,0.15,L_SHUSWAP,4,0.05,CHILKO-NORTH,3,0.02,PBS,Technicianmr,,
U1505,JS00996,finclip,SCOTCH,2,0.6,SEYMOUR,2,0.4,EAGLE,2,0,L_ADAMS,4,0,NA,NA,NA,PBS,Technicianmr,,
U1506,JS00993,finclip,MIDDLESHUSWAP,4,0.91,L_SHUSWAP,4,0.05,L_ADAMS,4,0.03,QUESNEL_HORSEF,3,0,SEYMOUR,2,0,PBS,Technicianmr,,
U1507,JS00992,finclip,L_SHUSWAP,4,0.55,L_ADAMS,4,0.22,MIDDLESHUSWAP,4,0.14,SEYMOUR,2,0.09,SCOTCH,2,0,PBS,Technicianmr,,
U1508,JS00999,finclip,MIDDLESHUSWAP,4,0.65,L_ADAMS,4,0.26,L_SHUSWAP,4,0.08,SCOTCH,2,0.01,SEYMOUR,2,0,PBS,Technicianmr,,
U1509,JS01000,finclip,SEYMOUR,2,0.5,SCOTCH,2,0.5,L_ADAMS,4,0,EAGLE,2,0,NA,NA,NA,PBS,Technicianmr,,
U1510,JS01343,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1511,JS00997,finclip,MIDDLESHUSWAP,4,0.49,L_SHUSWAP,4,0.29,L_ADAMS,4,0.2,SCOTCH,2,0.01,PORTAGE_CR,4,0,PBS,Technicianmr,,
U1512,JS00998,finclip,MIDDLESHUSWAP,4,0.28,SCOTCH,2,0.27,L_ADAMS,4,0.16,SEYMOUR,2,0.14,L_SHUSWAP,4,0.05,PBS,Technicianmr,,
U1513,JS00991,finclip,CHILKO-NORTH,3,0.86,CHILKO,3,0.13,L_ADAMS,4,0.01,MIDDLESHUSWAP,4,0,L_SHUSWAP,4,0,PBS,Technicianmr,,
U1514,JS00536,finclip,CHILKO,3,0.74,L_ADAMS,4,0.13,CHILKO_SOUTH,2,0.11,CHILKO-NORTH,3,0.02,HORSEFLY,3,0.01,PBS,Technicianmr,,
U1515,DS00816,finclip,L_ADAMS,4,0.61,L_SHUSWAP,4,0.23,LITTLE,4,0.13,EAGLE_L,4,0.02,QUESNEL_HORSEF,3,0,PBS,Technicianmr,,
U1516,DS00815,finclip,L_SHUSWAP,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1517,DS00814,finclip,SCOTCH,2,0.99,SEYMOUR,2,0.01,L_SHUSWAP,4,0,L_ADAMS,4,0,LITTLE,4,0,PBS,Technicianmr,,
U1518,DS00818,finclip,CHILKO-NORTH,3,0.72,CHILKO,3,0.11,L_ADAMS,4,0.08,LITTLE,4,0.04,L_SHUSWAP,4,0.04,PBS,Technicianmr,,
U1519,DS00817,finclip,L_SHUSWAP,4,0.99,L_ADAMS,4,0.01,LITTLE,4,0,EAGLE_L,4,0,NA,NA,NA,PBS,Technicianmr,,
U1520,DS00812,finclip,L_SHUSWAP,4,0.95,L_ADAMS,4,0.04,LITTLE,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1521,JS01349,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1522,JS01345,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1523,JS01348,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1524,JS01344,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1525,JS01350,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1526,JS01342,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1527,JS01347,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1528,JS01454,finclip,HORSEFLY,3,0.84,QUESNEL_HORSEF,3,0.16,MCKINLEY,3,0,L_HORSEFLY,3,0,U_HORSEFLY,3,0,PBS,Technicianmr,,
U1529,JS01460,finclip,L_SHUSWAP,4,0.97,MIDDLESHUSWAP,4,0.03,LITTLE,4,0,EAGLE_L,4,0,L_ADAMS,4,0,PBS,Technicianmr,,
U1530,JS01459,finclip,L_SHUSWAP,4,0.63,MIDDLESHUSWAP,4,0.34,EAGLE_L,4,0.02,LITTLE,4,0.01,CHILKO,3,0.01,PBS,Technicianmr,,
U1531,JS01346,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1532,JS01453,finclip,L_SHUSWAP,4,0.39,MIDDLESHUSWAP,4,0.28,LITTLE,4,0.26,EAGLE_L,4,0.06,HORSEFLY,3,0.01,PBS,Technicianmr,,
U1533,JS01458,finclip,HORSEFLY,3,0.72,QUESNEL_HORSEF,3,0.16,CHILKO-NORTH,3,0.06,CHILKO,3,0.03,MCKINLEY,3,0.02,PBS,Technicianmr,,
U1534,JS01456,finclip,HORSEFLY,3,0.86,QUESNEL_HORSEF,3,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1535,JS01455,finclip,L_SHUSWAP,4,0.65,MIDDLESHUSWAP,4,0.29,LITTLE,4,0.05,SCOTCH,2,0.01,EAGLE_L,4,0.01,PBS,Technicianmr,,
U1536,JS01411,finclip,L_SHUSWAP,4,0.81,MIDDLESHUSWAP,4,0.16,LITTLE,4,0.02,SEYMOUR,2,0,SCOTCH,2,0,PBS,Technicianmr,,
U1537,JS01417,finclip,ROARING,3,0.31,QUESNEL_DECEPT,3,0.3,BLUE_LEAD_CK,3,0.25,QUESNEL_HORSEF,3,0.09,HORSEFLY,3,0.05,PBS,Technicianmr,,
U1538,JS01412,finclip,LITTLE,4,0.61,L_SHUSWAP,4,0.36,PORTAGE_CR,4,0.02,EAGLE_L,4,0.01,L_ADAMS,4,0.01,PBS,Technicianmr,,
U1539,JS01414,finclip,SCOTCH,2,0.89,SEYMOUR,2,0.1,BLACKWATER,1,0.01,LITTLE,4,0,EAGLE,2,0,PBS,Technicianmr,,
U1540,JS00672,finclip,L_ADAMS,4,0.83,L_SHUSWAP,4,0.11,QUESNEL_HORSEF,3,0.03,MIDDLESHUSWAP,4,0.02,HORSEFLY,3,0.01,PBS,Technicianmr,,
U1541,JS01457,finclip,HORSEFLY,3,0.77,QUESNEL_HORSEF,3,0.15,QUESNEL_DECEPT,3,0.04,ROARING,3,0.01,MCKINLEY,3,0.01,PBS,Technicianmr,,
U1542,JS01451,finclip,L_SHUSWAP,4,0.37,LITTLE,4,0.24,MIDDLESHUSWAP,4,0.17,CHILKO,3,0.13,SEYMOUR,2,0.04,PBS,Technicianmr,,
U1543,JS01452,finclip,CHILKO,3,0.91,CHILKO-NORTH,3,0.08,CHILKO_SOUTH,2,0.01,HORSEFLY,3,0,MIDDLE,3,0,PBS,Technicianmr,,
U1544,JS01415,finclip,L_SHUSWAP,4,0.7,MIDDLESHUSWAP,4,0.28,LITTLE,4,0.02,CHILKO,3,0,EAGLE_L,4,0,PBS,Technicianmr,,
U1545,JS01416,finclip,L_SHUSWAP,4,0.78,MIDDLESHUSWAP,4,0.19,LITTLE,4,0.02,EAGLE_L,4,0,SCOTCH,2,0,PBS,Technicianmr,,
U1546,JS01418,finclip,SEYMOUR,2,0.84,SCOTCH,2,0.13,L_SHUSWAP,4,0.02,LITTLE,4,0.01,EAGLE,2,0,PBS,Technicianmr,,
U1547,JS01413,finclip,LITTLE,4,0.48,L_SHUSWAP,4,0.37,MIDDLESHUSWAP,4,0.14,EAGLE_L,4,0,SEYMOUR,2,0,PBS,Technicianmr,,
U1548,JS01420,finclip,L_SHUSWAP,4,0.85,MIDDLESHUSWAP,4,0.14,LITTLE,4,0.01,L_ADAMS,4,0,NA,NA,NA,PBS,Technicianmr,,
U1549,JS01419,finclip,SCOTCH,2,0.89,SEYMOUR,2,0.11,L_SHUSWAP,4,0,LITTLE,4,0,NA,NA,NA,PBS,Technicianmr,,
U1550,JS00679,finclip,QUESNEL_HORSEF,3,0.57,M_HORSEFLY,3,0.21,HORSEFLY,3,0.21,U_HORSEFLY,3,0.01,QUESNEL_DECEPT,3,0,PBS,Technicianmr,,
U1551,JS00673,finclip,L_SHUSWAP,4,0.83,L_ADAMS,4,0.17,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1552,JS00677,finclip,L_ADAMS,4,0.77,CHILKO,3,0.1,L_SHUSWAP,4,0.06,THOMPSON_N,2,0.04,QUESNEL_HORSEF,3,0.02,PBS,Technicianmr,,
U1553,JS00678,finclip,QUESNEL_HORSEF,3,0.88,HORSEFLY,3,0.06,M_HORSEFLY,3,0.06,L_ADAMS,4,0.01,U_HORSEFLY,3,0,PBS,Technicianmr,,
U1554,JS00674,finclip,QUESNEL_HORSEF,3,0.93,HORSEFLY,3,0.03,M_HORSEFLY,3,0.03,U_HORSEFLY,3,0.01,CHILKO,3,0,PBS,Technicianmr,,
U1555,JS00680,finclip,L_SHUSWAP,4,0.99,L_ADAMS,4,0.01,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1556,JS01341,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1557,JS00418,finclip,DOLLYVARDEN_CR,3,0.99,PINCHI_CR,3,0.01,CHILKO,3,0,CHILLIW_LAKE,2,0,HORSEFLY,3,0,PBS,Technicianmr,,
U1558,JS00419,finclip,TACHIE,3,0.72,PINCHI_CR,3,0.23,BLACKWATER,1,0.03,KYNOCK,1,0.01,MIDDLE,3,0,PBS,Technicianmr,,
U1559,JS00788,finclip,CHILKO,3,0.66,L_ADAMS,4,0.13,QUESNEL_HORSEF,3,0.09,CHILKO-NORTH,3,0.05,HORSEFLY,3,0.03,PBS,Technicianmr,,
U1560,JS00784,finclip,L_ADAMS,4,0.96,SEYMOUR,2,0.02,QUESNEL_HORSEF,3,0.01,CHILKO,3,0.01,L_SHUSWAP,4,0,PBS,Technicianmr,,
U1561,JS00671,finclip,L_ADAMS,4,0.98,L_SHUSWAP,4,0.01,M_HORSEFLY,3,0.01,QUESNEL_HORSEF,3,0,SEYMOUR,2,0,PBS,Technicianmr,,
U1562,JS00675,finclip,QUESNEL_HORSEF,3,0.83,HORSEFLY,3,0.1,L_ADAMS,4,0.04,CHILKO-NORTH,3,0.01,CHILKO,3,0.01,PBS,Technicianmr,,
U1563,JS00676,finclip,L_SHUSWAP,4,0.97,MIDDLESHUSWAP,4,0.03,L_ADAMS,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1564,JS00410,finclip,L_SHUSWAP,4,0.99,L_ADAMS,4,0.01,MIDDLESHUSWAP,4,0.01,EAGLE_L,4,0,PORTAGE_CR,4,0,PBS,Technicianmr,,
U1565,JS00420,finclip,SCOTCH,2,0.83,SEYMOUR,2,0.05,L_SHUSWAP,4,0.05,LITTLE,4,0.03,L_ADAMS,4,0.02,PBS,Technicianmr,,
U1566,JS00413,finclip,QUESNEL_HORSEF,3,0.82,LITTLE,4,0.07,U_HORSEFLY,3,0.05,PINCHI_CR,3,0.03,HORSEFLY,3,0.02,PBS,Technicianmr,,
U1567,JS00414,finclip,L_SHUSWAP,4,0.72,SCOTCH,2,0.22,MIDDLESHUSWAP,4,0.02,LITTLE,4,0.01,L_ADAMS,4,0.01,PBS,Technicianmr,,
U1568,JS00415,finclip,L_SHUSWAP,4,0.84,SCOTCH,2,0.09,MIDDLESHUSWAP,4,0.05,SEYMOUR,2,0.01,EAGLE_L,4,0.01,PBS,Technicianmr,,
U1569,DS01264,finclip,HORSEFLY,3,0.61,L_HORSEFLY,3,0.13,QUESNEL_HORSEF,3,0.1,MIDDLESHUSWAP,4,0.05,CHILKO-NORTH,3,0.04,PBS,Technicianmr,,
U1570,DS01265,finclip,L_SHUSWAP,4,0.53,MIDDLESHUSWAP,4,0.45,EAGLE_L,4,0.02,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1571,DS01266,finclip,MIDDLESHUSWAP,4,0.91,L_SHUSWAP,4,0.08,HORSEFLY,3,0.01,EAGLE_L,4,0,LITTLE,4,0,PBS,Technicianmr,,
U1572,DS01269,finclip,MIDDLESHUSWAP,4,0.84,L_SHUSWAP,4,0.14,EAGLE_L,4,0.02,DUST,1,0,NA,NA,NA,PBS,Technicianmr,,
U1573,DS01268,finclip,SEYMOUR,2,0.55,SCOTCH,2,0.34,MIDDLESHUSWAP,4,0.05,CHILKO,3,0.03,EAGLE_L,4,0.02,PBS,Technicianmr,,
U1574,DS01262,finclip,MIDDLESHUSWAP,4,0.95,L_SHUSWAP,4,0.04,EAGLE_L,4,0.01,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1575,DS01267,finclip,MIDDLESHUSWAP,4,0.9,L_SHUSWAP,4,0.07,EAGLE_L,4,0.03,CHILKO,3,0.01,LITTLE,4,0,PBS,Technicianmr,,
U1576,DS01261,finclip,MIDDLESHUSWAP,4,0.76,CHILKO,3,0.14,EAGLE_L,4,0.06,L_SHUSWAP,4,0.02,SINTA,1,0,PBS,Technicianmr,,
U1577,DS01263,finclip,HORSEFLY,3,0.66,L_HORSEFLY,3,0.13,QUESNEL_HORSEF,3,0.1,QUESNEL_DECEPT,3,0.07,CHILKO,3,0.02,PBS,Technicianmr,,
U1578,DS01270,finclip,MIDDLESHUSWAP,4,0.78,L_SHUSWAP,4,0.17,EAGLE_L,4,0.03,DUST,1,0.01,SEYMOUR,2,0.01,PBS,Technicianmr,,
U1579,JS00531,finclip,L_ADAMS,4,0.82,L_SHUSWAP,4,0.15,CHILKO_SOUTH,2,0.01,CHILKO,3,0.01,MIDDLESHUSWAP,4,0,PBS,Technicianmr,,
U1580,JS00540,finclip,L_ADAMS,4,0.67,L_SHUSWAP,4,0.26,SEYMOUR,2,0.06,MIDDLESHUSWAP,4,0.01,QUESNEL_HORSEF,3,0,PBS,Technicianmr,,
U1581,JS00534,finclip,MITCHELL,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1582,JS00539,finclip,MITCHELL,3,0.98,QUESNEL_HORSEF,3,0.01,ROARING,3,0,L_SHUSWAP,4,0,WASKO_CR,3,0,PBS,Technicianmr,,
U1583,JS00533,finclip,L_ADAMS,4,0.65,STELLAKO,3,0.13,PINCHI_CR,3,0.04,QUESNEL_HORSEF,3,0.04,SEYMOUR,2,0.04,PBS,Technicianmr,,
U1584,JS00535,finclip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U1585,JS00538,finclip,L_ADAMS,4,1,EAGLE_L,4,0,MIDDLESHUSWAP,4,0,L_SHUSWAP,4,0,NA,NA,NA,PBS,Technicianmr,,
U1586,JS00532,finclip,L_ADAMS,4,0.88,L_SHUSWAP,4,0.11,MIDDLESHUSWAP,4,0.01,SEYMOUR,2,0,NA,NA,NA,PBS,Technicianmr,,
U1587,JS00537,finclip,MITCHELL,3,0.99,QUESNEL_MITCHE,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1588,DS00819,finclip,LITTLE,4,0.63,L_ADAMS,4,0.28,L_SHUSWAP,4,0.09,SCOTCH,2,0,CHILKO,3,0,PBS,Technicianmr,,
U1589,DS00820,finclip,QUESNEL_HORSEF,3,0.48,LITTLE,4,0.24,L_SHUSWAP,4,0.1,MCKINLEY,3,0.1,L_ADAMS,4,0.03,PBS,Technicianmr,,
U1590,DS00813,finclip,QUESNEL_MITCHE,3,0.59,MITCHELL,3,0.4,QUESNEL_DECEPT,3,0,ROARING,3,0,BLUE_LEAD_CK,3,0,PBS,Technicianmr,,
U1591,JS00381,finclip,CHILKO,3,0.89,L_SHUSWAP,4,0.05,PORTAGE_CR,4,0.01,KYNOCK,1,0.01,DRIFTWOOD,1,0.01,PBS,Technicianmr,,
U1592,JS00389,finclip,SCOTCH,2,0.91,SEYMOUR,2,0.08,EAGLE,2,0.01,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1593,JS00384,finclip,CHILKO,3,0.34,QUESNEL_HORSEF,3,0.3,U_HORSEFLY,3,0.07,LITTLE,4,0.06,BLACKWATER,1,0.04,PBS,Technicianmr,,
U1594,JS00382,finclip,L_SHUSWAP,4,1,DUST,1,0,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1595,JS00789,finclip,L_ADAMS,4,0.95,SEYMOUR,2,0.03,L_SHUSWAP,4,0.01,QUESNEL_HORSEF,3,0.01,HORSEFLY,3,0,PBS,Technicianmr,,
U1596,JS00786,finclip,QUESNEL_HORSEF,3,0.58,HORSEFLY,3,0.23,M_HORSEFLY,3,0.12,CHILKO,3,0.05,L_ADAMS,4,0.02,PBS,Technicianmr,,
U1597,JS00785,finclip,L_ADAMS,4,0.49,L_SHUSWAP,4,0.33,QUESNEL_HORSEF,3,0.14,MIDDLESHUSWAP,4,0.02,SEYMOUR,2,0.01,PBS,Technicianmr,,
U1598,JS00783,finclip,L_SHUSWAP,4,0.73,L_ADAMS,4,0.26,MIDDLESHUSWAP,4,0.01,SEYMOUR,2,0,NA,NA,NA,PBS,Technicianmr,,
U1599,JS00353,finclip,L_SHUSWAP,4,0.61,LITTLE,4,0.2,L_ADAMS,4,0.15,SCOTCH,2,0.03,PORTAGE_CR,4,0.01,PBS,Technicianmr,,
U1600,JS00360,finclip,CHILKO,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U1601,DS00811,finclip,L_SHUSWAP,4,0.99,L_ADAMS,4,0,LITTLE,4,0,MIDDLESHUSWAP,4,0,NA,NA,NA,PBS,Technicianmr,,
U1602,JS00388,finclip,QUESNEL_HORSEF,3,0.76,U_HORSEFLY,3,0.15,HORSEFLY,3,0.07,MCKINLEY,3,0.02,L_HORSEFLY,3,0,PBS,Technicianmr,,
