ufn,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab,quality_level,quality_flag,quality_log
U439,2015-11-10,None,Present,9.9,NA,95,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U440,2015-11-10,None,Present,15.2,NA,108,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U451,2015-11-10,None,Present,16,NA,110,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U452,2015-11-10,None,Present,14.1,NA,108,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U453,2015-11-10,None,Present,11,NA,98,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U327,2015-11-10,None,Present,10.5,NA,110,NA,Pale spleen,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U402,2015-11-12,None,Present,15.3,NA,106,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U403,2015-11-12,None,Present,9.8,NA,97,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U404,2015-11-12,None,Present,9.7,NA,100,Weight taken after dissection,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U405,2015-11-12,None,Present,14.4,NA,109,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U406,2015-11-12,None,Present,20.9,NA,126,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U407,2015-11-12,None,Present,10.5,NA,95,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U450,2015-11-12,None,Present,13.6,NA,104,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U461,2015-11-12,None,Present,11.9,NA,103,1 cal  pre adult male found in 2 pieces in vial,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U462,2015-11-12,None,Present,11.1,NA,100,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U463,2015-11-12,None,Present,9.2,NA,96,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U464,2015-11-12,None,Present,16.9,NA,119,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U465,2015-11-12,None,Present,14,NA,108,"Brain dropped on coolbox, may be contaminated",NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U466,2015-11-13,None,Present,12.6,NA,97,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U467,2015-11-13,None,Present,11.1,NA,99,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U468,2015-11-13,None,Present,15,NA,115,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U469,2015-11-13,None,Present,12.1,NA,101,1 otolith,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U470,2015-11-13,None,Present,11.5,NA,103,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U481,2015-11-13,None,Present,15.6,NA,115,Both otoliths cracked,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U408,2015-11-13,None,Present,14.7,NA,108,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U409,2015-11-13,None,Present,9.2,NA,100,"Cal chal a not retained , weighted after dissection",NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U410,2015-11-13,None,Present,11.6,NA,103,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U491,2015-11-13,None,Present,15.9,NA,115,Possible ad clip ( smal flap),NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U492,2015-11-13,None,Present,11.1,NA,102,1 chal a cal,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U328,2015-11-13,None,Present,9.3,NA,104,NA,NA,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U482,2015-11-16,None,Present,10.3,NA,101,1 oto,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U483,2015-11-16,None,Present,8.2,NA,98,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U484,2015-11-16,None,Present,15.1,NA,111,"No otoliths, isoptope sample mixed up with u488 (both say ""u483"", so we dont know which is which)",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U485,2015-11-16,None,Present,11.6,NA,107,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U486,2015-11-16,None,Present,8.3,NA,91,One oto,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U487,2015-11-16,None,Present,17.1,NA,121,One oto,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U488,2015-11-16,None,Present,8,NA,109,Fatty acid sample location unknown,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U489,2015-11-16,None,Present,7.6,NA,91,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U493,2015-11-16,None,Present,8.3,NA,98,Weighed after dissection,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U494,2015-11-16,None,Present,12.3,NA,109,"1 oto, 1 cal cop not retained",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U495,2015-11-16,None,Present,7.7,NA,90,1 oto,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U496,2015-11-16,None,Present,11.6,NA,100,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U497,2015-11-16,None,Present,14.2,NA,107,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U498,2015-11-16,None,Present,14.3,NA,104,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U499,2015-11-16,None,Present,9.2,NA,94,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U490,2015-11-17,None,Present,8.9,NA,93,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U511,2015-11-17,None,Present,10.1,NA,99,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U512,2015-11-17,None,Present,10.6,NA,98,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U513,2015-11-17,None,Present,8.7,NA,91,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U514,2015-11-17,None,Present,8.7,NA,91,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U515,2015-11-17,None,Present,10.8,NA,105,1 oto,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U516,2015-11-17,None,Present,10.5,NA,96,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U454,2015-11-17,None,Present,13.6,NA,105,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U455,2015-11-17,None,Present,8.3,NA,87,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U456,2015-11-17,None,Present,10.2,NA,100,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U457,2015-11-17,None,Present,12.8,NA,106,"(other bag from same event said ""trainer fish only""",NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U458,2015-11-17,None,Present,10.8,NA,102,"(other bag from same event said ""trainer fish only""",NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U500,2015-11-17,None,Present,15.1,NA,110,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U501,2015-11-17,None,Present,8.8,NA,96,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U502,2015-11-17,None,Present,15.2,NA,115,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U503,2015-11-17,None,Present,8.3,NA,87,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U504,2015-11-17,None,Present,10.1,NA,97,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U505,2015-11-17,None,Present,10.4,NA,94,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U506,2015-11-17,None,Present,9.4,NA,91,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U517,2015-11-18,None,Present,7.3,NA,84,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U518,2015-11-18,None,Present,12,NA,107,1 cracked oto retained,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U519,2015-11-18,None,Present,11,NA,102,No spleen,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U520,2015-11-18,None,Present,5.9,NA,82,"Whitish blob on liver, louse count was interrupted so may be inaccurate",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U521,2015-11-18,None,Present,8.2,NA,86,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U522,2015-11-18,None,Present,7.9,NA,88,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U523,2015-11-18,None,Present,13.3,NA,108,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U524,2015-11-18,None,Present,14.8,NA,118,Nematode on liver,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U459,2015-11-18,None,Present,7.4,NA,88,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U460,2015-11-18,None,Present,8.1,NA,96,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U531,2015-11-18,None,Present,8.7,NA,91,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U532,2015-11-18,None,Present,14.7,NA,115,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U533,2015-11-18,None,Present,17,NA,111,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U534,2015-11-18,None,Present,7.4,NA,89,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U507,2015-11-18,None,Present,9.1,NA,96,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U508,2015-11-18,None,Present,10.3,NA,100,1 otolith,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U509,2015-11-18,None,Present,14.1,NA,109,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U510,2015-11-18,None,Present,11.1,NA,95,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U541,2015-11-18,None,Present,5.8,NA,79,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U542,2015-11-18,None,Present,9.1,NA,93,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U543,2015-11-18,None,Present,13.6,NA,106,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U544,2015-11-18,None,Present,12.9,NA,102,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U525,2015-11-19,None,Present,6.7,NA,85,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U526,2015-11-19,None,Present,10,NA,86,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U527,2015-11-19,None,Present,9.7,NA,92,1 otolith,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U528,2015-11-19,None,Present,9.6,NA,95,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U529,2015-11-19,None,Present,10.6,NA,95,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U530,2015-11-19,None,Present,7.4,NA,86,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U551,2015-11-19,None,Present,30.2,NA,138,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U552,2015-11-19,None,Present,15.4,NA,108,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U535,2015-11-19,None,Present,6.7,NA,85,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U536,2015-11-19,None,Present,11.3,NA,100,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U537,2015-11-19,None,Present,15.2,NA,110,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U538,2015-11-19,None,Present,11.1,NA,95,1 caligus chal a not retained,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U539,2015-11-19,None,Present,7.8,NA,88,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U540,2015-11-19,None,Present,21.1,NA,123,1 cracked otolith retained,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U545,2015-11-19,None,Present,10,NA,95,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U546,2015-11-19,None,Present,12.1,NA,111,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U547,2015-11-19,None,Present,20,NA,120,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U548,2015-11-19,None,Present,11.8,NA,101,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U549,2015-11-19,None,Present,13.4,NA,105,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U550,2015-11-19,None,Present,4.8,NA,76,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U561,2015-11-19,None,Present,25.9,NA,131,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U553,2015-11-20,None,Present,3.3,NA,66,1 cal chal a not retained,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U554,2015-11-20,None,Present,18.4,NA,118,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U555,2015-11-20,None,Present,17.5,NA,112,Pale liver,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U556,2015-11-20,None,Present,35.8,NA,142,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U557,2015-11-20,None,Present,32.8,NA,145,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U558,2015-11-20,None,Present,18.3,NA,124,Dylan did licing 1,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U581,2015-11-20,None,Present,NA,NA,125,1 caligus chal a not retained,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U582,2015-11-20,None,Present,15.2,NA,110,1 cracked otolith,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U583,2015-11-20,None,Present,19.1,NA,118,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U584,2015-11-20,None,Present,20.9,NA,123,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U562,2015-11-20,None,Present,19.6,NA,120,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U563,2015-11-20,None,Present,20.6,NA,123,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U564,2015-11-20,None,Present,20,NA,116,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U565,2015-11-20,None,Present,20.9,NA,125,No oto,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U566,2015-11-20,None,Present,20,NA,125,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U567,2015-11-20,None,Present,NA,NA,115,"Post dissection weight of 15.9, no spleen taken",NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U559,2015-11-23,None,Present,19.5,NA,120,NA,"Slice mark on left flank about 2cm long, possibly from net",CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U560,2015-11-23,None,Present,24.8,NA,133,"Tipped the lice vial, but appears all samples were retained in bottom of vial",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U571,2015-11-23,None,Present,17.9,NA,115,"One otolith, vial was also bumped but appears all samples retained",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U572,2015-11-23,None,Absent,25.8,NA,128,Liver was on opposite side of stomach!,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U573,2015-11-23,None,Present,23.7,NA,127,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U574,2015-11-23,None,Present,23.1,NA,128,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U586,2015-11-23,None,Present,17.4,NA,116,Gravid caligus collected,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U587,2015-11-23,None,Present,25.4,NA,131,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U588,2015-11-23,None,Present,18.2,NA,119,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U589,2015-11-23,None,Present,20.1,NA,125,NA,"Lesion on dorsal surface just behind dorsal fin, pale organs",DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U568,2015-11-23,None,Present,22.9,NA,133,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U569,2015-11-23,None,Present,23.5,NA,120,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U575,2015-11-24,None,Present,20.1,NA,120,Hemorhagging cuts on sides,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U576,2015-11-24,None,Present,26.5,NA,131,"I cracked otolith,",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U577,2015-11-24,None,Present,20.3,NA,125,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U578,2015-11-24,None,Present,20.9,NA,116,1 louse reatined in 2 pieces cal chal b,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U579,2015-11-24,None,Present,15.1,NA,108,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U580,2015-11-24,None,Present,19.8,NA,119,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U611,2015-11-24,None,Present,21,NA,123,"1 oto, louse count may not be correct",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U590,2015-11-24,None,Present,20.9,NA,121,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U591,2015-11-24,None,Present,20.4,NA,119,Correct location of otolith sample unverified due to duplicates in data entry,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U592,2015-11-24,None,Present,14.5,NA,109,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U593,2015-11-24,None,Present,16.6,NA,119,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U594,2015-11-24,None,Present,24.1,NA,128,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U595,2015-11-24,None,Present,21.3,NA,124,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U570,2015-11-24,None,Present,14.5,NA,115,"Lp qc,",NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U631,2015-11-24,None,Present,NA,NA,128,Post dissection weight of 23.3,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U632,2015-11-24,None,Present,18.1,NA,116,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U633,2015-11-24,None,Present,16.3,NA,114,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U329,2015-11-24,None,Present,15.9,NA,116,KI QC,NA,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U330,2015-11-24,None,Present,16.9,NA,115,NA,NA,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U621,2015-11-24,None,Present,22.5,NA,130,NA,NA,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U612,2015-11-25,None,Present,21.6,NA,126,One otolith,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U613,2015-11-25,None,Present,14,NA,103,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U614,2015-11-25,None,Present,10.2,NA,95,One otolith,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U615,2015-11-25,None,Present,10.5,NA,85,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U596,2015-11-25,None,Present,18.9,NA,125,"3 lice in this lice vial are from u597 (2 caligus chal as, and 1 potential caligus chal b)",NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U597,2015-11-25,None,Present,25.8,NA,126,1 caligus chal not retained,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U598,2015-11-25,None,Present,23.5,NA,129,Big lesion on right flank behind dorsal. unidentified organism saved.,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U599,2015-11-25,None,Present,12.1,NA,100,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U634,2015-11-25,None,Present,22.4,NA,133,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U635,2015-11-25,None,Present,NA,NA,119,Post dissection weight of 14.8,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U636,2015-11-25,None,Present,20.9,NA,128,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U637,2015-11-25,None,Present,12.5,NA,119,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U638,2015-11-25,None,Present,15.8,NA,116,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U639,2015-11-25,None,Present,NA,NA,109,Post dissection weight of 15.4,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U640,2015-11-25,None,Present,7.5,NA,86,No spleen,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U616,2015-11-26,None,Present,11.2,NA,106,One cracked otolith,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U617,2015-11-26,None,Present,11.5,NA,100,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U618,2015-11-26,None,Present,18.7,NA,119,"Make-up fish for lost RNA on another so from same date, one cracked otolith",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U619,2015-11-26,None,Present,25.4,NA,136,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U620,2015-11-26,None,Present,17.6,NA,119,"One otolith, louse number off",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U600,2015-11-26,None,Present,10.2,NA,95,RNA samples not useable,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U651,2015-11-26,None,Present,18.2,NA,114,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U652,2015-11-26,None,Present,NA,NA,134,"1 caligus chal a not retained, lesion on left flank under dorsal",NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U653,2015-11-26,None,Present,18.6,NA,125,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U641,2015-11-26,None,Present,9.1,NA,100,"No RNA taken (tray 5, spot b4 tissues not usable), 1 oto",NA,KI,irregular,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U642,2015-11-26,None,Present,12.3,NA,108,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U643,2015-11-26,None,Present,19,NA,119,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U644,2015-11-26,None,Present,20.2,NA,126,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U645,2015-11-26,None,Present,17.8,NA,108,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U622,2015-11-26,None,Present,7.8,NA,92,NA,NA,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U623,2015-11-26,None,Present,17.6,NA,126,RNA samples not useable,NA,LP,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U661,2015-11-27,None,Present,16,NA,114,"Cracked otoliths, pale liver, lesions on dorsal surface, looks pink like they were starting to heal",NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U662,2015-11-27,None,Present,21.9,NA,126,Mangled cal chal b in vial (in a few pieces),NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U663,2015-11-27,None,Present,NA,NA,133,NA,NA,CK,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U654,2015-11-27,None,Present,15.8,NA,118,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U655,2015-11-27,None,Present,21.5,NA,131,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U656,2015-11-27,None,Present,NA,NA,132,Post dissection weight of 21.1,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U657,2015-11-27,None,Present,21.8,NA,125,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U658,2015-11-27,None,Present,30.9,NA,121,NA,NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U659,2015-11-27,None,Present,19.5,NA,114,"Muscle tissue very red, not sure if scales were taken there was a discrepancy on my sheet",NA,DS,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U646,2015-11-27,None,Present,18.8,NA,135,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U647,2015-11-27,None,Present,23.8,NA,139,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U648,2015-11-27,None,Present,18.8,NA,128,Pale liver,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U649,2015-11-27,None,Present,17.2,NA,106,NA,NA,KI,full_1,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
